Team;Total_Points;date
Kazakhstan;1173.00;2025-11-19
Malaysia;1168.41;2025-11-19
The Gambia;1161.55;2025-11-19
Sudan;1153.56;2025-11-19
Namibia;1153.22;2025-11-19
Korea DPR;1151.05;2025-11-19
Sierra Leone;1149.10;2025-11-19
Indonesia;1144.73;2025-11-19
Suriname;1140.54;2025-11-19
Togo;1140.35;2025-11-19
Faroe Islands;1135.42;2025-11-19
Malawi;1133.75;2025-11-19
Azerbaijan;1132.97;2025-11-19
Cyprus;1128.50;2025-11-19
Zimbabwe;1123.69;2025-11-19
Estonia;1123.11;2025-11-19
Rwanda;1117.78;2025-11-19
Nicaragua;1116.86;2025-11-19
Guinea-Bissau;1108.09;2025-11-19
Congo;1105.96;2025-11-19
Kuwait;1103.25;2025-11-19
Philippines;1090.95;2025-11-19
Turkmenistan;1087.52;2025-11-19
Botswana;1084.56;2025-11-19
Central African Republic;1083.57;2025-11-19
Latvia;1082.68;2025-11-19
Liberia;1081.46;2025-11-19
India;1079.52;2025-11-19
Dominican Republic;1077.49;2025-11-19
Lesotho;1065.97;2025-11-19
Burundi;1060.22;2025-11-19
Lithuania;1056.34;2025-11-19
Ethiopia;1055.36;2025-11-19
Yemen;1048.83;2025-11-19
New Caledonia;1042.62;2025-11-19
Guyana;1041.90;2025-11-19
Singapore;1040.43;2025-11-19
Solomon Islands;1039.86;2025-11-19
Hong Kong;1038.14;2025-11-19
St Kitts and Nevis;1035.25;2025-11-19
Fiji;1029.70;2025-11-19
Puerto Rico;1020.07;2025-11-19
Tahiti;1019.04;2025-11-19
Moldova;1012.64;2025-11-19
Eswatini;1010.52;2025-11-19
Vanuatu;997.01;2025-11-19
Malta;996.59;2025-11-19
Afghanistan;991.19;2025-11-19
Myanmar;990.81;2025-11-19
Grenada;989.59;2025-11-19
Antigua and Barbuda;986.58;2025-11-19
Cuba;980.49;2025-11-19
St Lucia;980.28;2025-11-19
South Sudan;978.70;2025-11-19
Bermuda;976.87;2025-11-19
Papua New Guinea;974.90;2025-11-19
St Vincent and the Grenadines;963.74;2025-11-19
Andorra;949.44;2025-11-19
Maldives;945.02;2025-11-19
Chinese Taipei;938.21;2025-11-19
Montserrat;916.75;2025-11-19
Mauritius;915.51;2025-11-19
Chad;914.65;2025-11-19
Barbados;914.42;2025-11-19
Cambodia;911.54;2025-11-19
Bangladesh;911.19;2025-11-19
Belize;910.74;2025-11-19
Nepal;902.44;2025-11-19
Dominica;901.37;2025-11-19
American Samoa;883.17;2025-11-19
Mongolia;879.75;2025-11-19
Cook Islands;877.53;2025-11-19
Laos;877.05;2025-11-19
Samoa;876.41;2025-11-19
Brunei Darussalam;875.78;2025-11-19
São Tomé and Príncipe;871.63;2025-11-19
Aruba;867.94;2025-11-19
Bhutan;867.86;2025-11-19
Macau;865.29;2025-11-19
Sri Lanka;857.40;2025-11-19
Cayman Islands;851.74;2025-11-19
Djibouti;847.89;2025-11-19
Tonga;835.64;2025-11-19
Timor-Leste;835.55;2025-11-19
Pakistan;833.16;2025-11-19
Somalia;827.07;2025-11-19
Guam;823.08;2025-11-19
Gibraltar;818.03;2025-11-19
Seychelles;805.33;2025-11-19
Turks and Caicos Islands;803.98;2025-11-19
Liechtenstein;799.80;2025-11-19
Bahamas;796.60;2025-11-19
US Virgin Islands;776.60;2025-11-19
British Virgin Islands;776.54;2025-11-19
Anguilla;759.78;2025-11-19
San Marino;726.03;2025-11-19
Eritrea (unranked);;2025-11-19
